,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,ObjectId,Total_Cases,NSW_Deaths,VIC_Deaths,QLD_Deaths,SA_Deaths,WA_Deaths,TAS_Deaths,NT_Deaths,ACT_Deaths,Total_Deaths,NSW_Tests,VIC_Tests,QLD_Tests,SA_Tests,WA_Tests,TAS_Tests,NT_Tests,ACT_Tests,NSW_Tests_Negative,VIC_Tests_Negative,QLD_Tests_Negative,SA_Tests_Negative,WA_Tests_Negative,TAS_Tests_Negative,NT_Tests_Negative,ACT_Tests_Negative,Total_Tests,Total_Tests_Negative
2020-02-12,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818,818
2020-02-13,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884,884
2020-02-14,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053,1053
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020-02-16,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188,1188
2020-02-17,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222,1222
2020-02-18,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401,1401
2020-02-19,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1551,1551
2020-02-20,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,614,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1702,1702
2020-02-21,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,615,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1819,1819
2020-02-22,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,616,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983,1983
2020-02-23,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2034,2034
2020-02-24,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,618,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074,2074
2020-02-25,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,619,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2253,2253
2020-02-26,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2480,2480
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020-02-28,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,641,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020-02-29,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,621,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-01,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,622,14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0,0.0,0.0,0.0,594,594
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-03,9.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,623,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
